GeoFips,GeoName,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
00000,United States *,14769862,14478067,15048970,15599731,16253970,16843196,17550687,18206023,18695106,19479623,20527159,21372582
01000,Alabama,174526.3,170930.9,177249.2,183916.6,189245.5,194786.9,197406.9,202372.4,207368.4,215085.9,224046.9,231171.8
02000,Alaska,55122.5,49957.8,53331.6,56896.3,58283.6,57247.7,56484.9,51490.9,50727.7,53089.3,54711.7,54547.1
04000,Arizona,262926,246424.3,251153,260915.7,271440,278591.6,287666.6,299393.3,313081.4,330416.1,349907.5,369988.2
05000,Arkansas,99706.8,97508.1,101486.5,105768.1,108492.1,113227.3,116139.4,117786.8,119152.4,122350.2,127306.5,130839.9
06000,California,1944695.3,1890165.9,1954092.7,2023500,2113096.4,2220389.9,2335286.5,2473555.9,2569634,2730973.9,2895101,3052645.2
08000,Colorado,258871.7,251227.7,258300.2,267516.1,276823.1,292140.5,309542.6,320721.1,329911.7,348898.1,371424.6,392218
09000,Connecticut,238936.8,233290.7,234700,233158.7,240911.9,241517.4,246597,259487.8,263670.3,271582.6,280692,288109.1
10000,Delaware,55459.8,57849.7,58163.5,61372.2,62354.6,61716.2,68354.7,71913.9,69355,68763.8,72488,77042.2
11000,District of Columbia,99496.5,100446,106146.9,109730.4,112157,114540.1,119414.6,124604.7,129648.6,133391.2,139784.8,144405.7
12000,Florida,763341.5,735421,746928.9,755240,778545,811751.7,851692.4,908519.9,953352.5,1002568.1,1057862.3,1116435.4
13000,Georgia,416377.6,409590.8,418091.3,431653.9,447764.7,464752.8,490079.3,521008.2,547546.7,574404.4,602340.1,637798.7
15000,Hawaii,65678.2,64549.7,66872.9,69083.9,71905.3,74554.9,76773.3,81230.3,83914.4,87177.8,90276.4,91781.1
16000,Idaho,56200.8,54064.1,55587.6,56941.1,58323.9,61835.8,64575.2,65899.9,68837.4,71688.4,77493.9,82420.1
17000,Illinois,654657.5,649862.7,666404.8,692880.8,726399.1,741121.5,771356.1,799930.5,807043.2,827075.2,867535.5,890486.1
18000,Indiana,275538.7,263326.8,282562.2,291356.1,300513.9,312138.5,327958.3,331945.7,340500.7,353150.3,373518.4,381020.3
19000,Iowa,137548.5,136894.6,142233.9,148477.6,158538.4,162200.3,173095.9,180299.3,181011.4,183549.8,190403.1,194322.6
20000,Kansas,128604.3,125348.9,128591.3,136358.9,141818.2,144483.2,150183.6,154958.2,160451,164923.3,172327.5,176738.5
21000,Kentucky,159883.8,157479.8,166408.7,171586.9,178143.7,184524.4,187983.8,193413.1,196484.9,201555,208250.3,216101.5
