order,occ_val,occ_label,occ_knowledge_worker
1,3,Legislators,Y
2,4,Chief executives and public administrators,Y
3,7,Financial managers,Y
4,8,Human resources and labor relations managers,Y
5,13,"Managers and specialists in marketing, advertising, and public relations",Y
6,14,Managers in education and related fields,Y
7,15,Managers of medicine and health occupations,Y
8,16,Postmasters and mail superintendents,Y
9,17,Managers of food-serving and lodging establishments,Y
10,18,Managers of properties and real estate,Y
11,19,Funeral directors,Y
12,21,"Managers of service organizations, n.e.c.",Y
13,22,"Managers and administrators, n.e.c.",Y
14,23,Accountants and auditors,Y
15,24,Insurance underwriters,Y
16,25,Other financial specialists,Y
17,26,Management analysts,Y
18,27,"Personnel, HR, training, and labor relations specialists",Y
19,28,"Purchasing agents and buyers, of farm products",N
20,29,"Buyers, wholesale and retail trade",Y
21,33,"Purchasing managers, agents and buyers, n.e.c.",Y
22,34,Business and promotion agents,N
23,35,Construction inspectors,N
24,36,"Inspectors and compliance officers, outside construction",N
25,37,Management support occupations,N
26,43,Architects,Y
27,44,Aerospace engineer,Y
28,45,"Metallurgical and materials engineers, variously phrased",Y
29,47,"Petroleum, mining, and geological engineers",Y
30,48,Chemical engineers,Y
31,53,Civil engineers,Y
32,55,Electrical engineer,Y
33,56,Industrial engineers,Y
34,57,Mechanical engineers,Y
35,59,Not-elsewhere-classified engineers,Y
36,64,Computer systems analysts and computer scientists,Y
37,65,Operations and systems researchers and analysts,Y
38,66,Actuaries,Y
39,67,Statisticians,Y
40,68,Mathematicians and mathematical scientists,Y
41,69,Physicists and astronomers,Y
42,73,Chemists,Y
43,74,Atmospheric and space scientists,Y
44,75,Geologists,Y
45,76,"Physical scientists, n.e.c.",Y
46,77,Agricultural and food scientists,Y
47,78,Biological scientists,Y
48,79,Foresters and conservation scientists,Y
49,83,Medical scientists,Y
50,84,Physicians,Y
51,85,Dentists,Y
52,86,Veterinarians,Y
53,87,Optometrists,Y
54,88,Podiatrists,Y
55,89,Other health and therapy,Y
56,95,Registered nurses,Y
57,96,Pharmacists,Y
58,97,Dietitians and nutritionists,Y
59,98,Respiratory therapists,Y
60,99,Occupational therapists,Y
61,103,Physical therapists,Y
62,104,Speech therapists,Y
63,105,"Therapists, n.e.c.",Y
64,106,Physicians' assistants,Y
65,113,"Earth, environmental, and marine science instructors",Y
66,114,Biological science instructors,Y
67,115,Chemistry instructors,Y
68,116,Physics instructors,Y
69,118,Psychology instructors,Y
70,119,Economics instructors,Y
71,123,History instructors,Y
72,125,Sociology instructors,Y
73,127,Engineering instructors,Y
74,128,Math instructors,Y
75,139,Education instructors,Y
76,145,Law instructors,Y
77,147,Theology instructors,Y
78,149,Home economics instructors,Y
79,150,"Humanities profs/instructors, college, nec",Y
80,154,Subject instructors (HS/college),Y
81,155,Kindergarten and earlier school teachers,Y
82,156,Primary school teachers,Y
83,157,Secondary school teachers,Y
84,158,Special education teachers,Y
85,159,"Teachers , n.e.c.",Y
86,163,Vocational and educational counselors,N
87,164,Librarians,N
88,165,Archivists and curators,N
89,166,"Economists, market researchers, and survey researchers",Y
90,167,Psychologists,Y
91,168,Sociologists,Y
92,169,"Social scientists, n.e.c.",Y
93,173,Urban and regional planners,N
94,174,Social workers,N
95,175,Recreation workers,N
96,176,Clergy and religious workers,N
97,178,Lawyers,Y
98,179,Judges,Y
99,183,Writers and authors,Y
100,184,Technical writers,Y
101,185,Designers,Y
102,186,Musician or composer,Y
103,187,"Actors, directors, producers",Y
104,188,"Art makers: painters, sculptors, craft-artists, and print-makers",Y
105,189,Photographers,Y
106,193,Dancers,Y
107,194,Art/entertainment performers and related,Y
108,195,Editors and reporters,Y
109,198,Announcers,N
110,199,"Athletes, sports instructors, and officials",Y
111,200,"Professionals, n.e.c.",N
112,203,Clinical laboratory technologies and technicians,Y
113,204,Dental hygenists,Y
114,205,Health record tech specialists,Y
115,206,Radiologic tech specialists,Y
116,207,Licensed practical nurses,Y
117,208,"Health technologists and technicians, n.e.c.",Y
118,213,Electrical and electronic (engineering) technicians,Y
119,214,"Engineering technicians, n.e.c.",Y
120,215,Mechanical engineering technicians,Y
121,217,Drafters,N
122,218,"Surveyors, cartographers, mapping scientists and technicians",Y
123,223,Biological technicians,Y
124,224,Chemical technicians,Y
125,225,Other science technicians,Y
126,226,Airplane pilots and navigators,Y
127,227,Air traffic controllers,Y
128,228,Broadcast equipment operators,N
129,229,Computer software developers,Y
130,233,Programmers of numerically controlled machine tools,N
131,234,"Legal assistants, paralegals, legal support, etc",Y
132,235,"Technicians, n.e.c.",Y
133,243,Supervisors and proprietors of sales jobs,Y
134,253,Insurance sales occupations,Y
135,254,Real estate sales occupations,Y
136,255,Financial services sales occupations,Y
